Question,Answer
"Inertia of a body depends on:
(a) weight of the object
(b) acceleration due to gravity of the planet
(c) mass of the object
(d) both (a) & (b)","(c) mass of the object"
"Impulse is equals to _______.
(a) rate of change of momentum
(b) rate of force and time
(c) change of momentum
(d) rate of change of mass.","(c) change of momentum"
"Newton's III law is applicable:
(a) for a body is at rest
(b) for a body in motion
(c) both (a) & (b)
(d) only for bodies with equal masses","(b) for a body in motion"
"Plotting a graph for momentum on the X-axis and time on Y-axis. Slope of momentum – time graph gives _______
(a) Impulsive force
(b) Acceleration
(c) Force
(d) Rate of force.","(c) Force"
"In which of the following sport the turning effect of force is used?
(a) swimming
(b) tennis
(c) cycling
(d) hockey","(c) cycling"
"The unit of 'g' is ms-2. It can be also expressed as:
(a) cm s-2
(b) N kg-1
(c) N m2kg-1
(d) cm2s-2","(a) cm s-2"
"One kilogram force equals to _______.
(a) 9.8 dyne
(b) 9.8 × 104 N
(c) 98 × 104 dyne
(d) 980 dyne.","(c) 98 × 104 dyne"
"The mass of a body is measured on planet Earth as M kg. When it is taken to a planet of radius half that of the Earth then its value will be ….. kg.
(a) 4 M
(b) 2 M
(c) M/4
(d) M","(c) M/4"
"If the Earth shrinks to 50% of its real radius its mass remaining the same, the weight of a body on the Earth will:
(a) decrease by 50%
(b) increase by 50%
(c) decrease by 25%
(d) increase by 300%","(c) decrease by 25%"
"To project the rockets which of the following principle(s) is / (are) required?
(a) Newton's third law of motion
(b) Newton's law of gravitation
(c) law of conservation of linear momentum
(d) both a and c.","(d) both a and c."
"To produce a displacement …….. is required.","force"
"Passengers lean forward when the sudden brake is applied in a moving vehicle. This can be explained by ……….","inertia"
"By convention, the clockwise moments are taken as ……… and the anticlockwise moments are taken as ……….","negative, positive"
"…….. is used to change the speed of the car.","Accelerator"
"A man of mass 100 kg has a weight of …….. at the surface of the Earth.","Weight = m × g = 100 × 9.8 = 980 N"
"Assertion: A rocket moves forward by pushing the air backwards.
Reason: It derives the necessary thrust to move forwarded according to Newton's third law of motion.
(a) If both the assertion and the reason are true and the reason is the correct explanation of assertion.
(b) If both the assertion and the reason are true, but the reason is not the correct explanation of assertion.
(c) Assertion is true, but the reason is false.
(d) Assertion is false, but the reason is true.","(a) If both the assertion and the reason are true and the reason is the correct explanation of assertion."
"Assertion: A mass in the elevator which is falling freely, does not experience gravity.
Reason: Inertial and gravitational masses have equivalence.
(a) If both the assertion and the reason are true and the reason is the correct explanation of assertion.
(b) If both the assertion and the reason are true, but the reason is not the correct explanation of assertion.
(c) Assertion is true, but the reason is false.
(d) Assertion is false, but the reason is true.","(c) Assertion is true, but the reason is false."
"Assertion: The intensity of gravitational field varies with respect to height and depth of a body on the Earth.
Reason: The value of gravitational field intensity depends on height and depth of a body.
(a) If both the assertion and the reason are true and the reason is the correct explanation of assertion.
(b) If both the assertion and the reason are true, but the reason is not the correct explanation of assertion.
(c) Assertion is true, but the reason is false.
(d) Assertion is false, but the reason is true.","(d) Assertion is false, but the reason is true."
"What is meant by mechanics? How can it be classified?","Mechanics is the branch of physics that deals with the effect of force on bodies. It is divided into two branches namely statics and dynamics."
"What is statics?","Statics deals with the bodies, which are at rest under the action of forces."
"What is dynamics?","Dynamics is the study of moving bodies under the action of forces."
"What is Kinematics?","Kinematics deals with the motion of bodies without considering the cause of motion."
"What is Kinetics?","Kinetics deals with the motion of bodies considering the cause of motion."
"Define momentum. State its unit.","The product of mass and velocity of a moving body gives the magnitude of linear momentum. It acts in the direction of the velocity of the object.
Its S.I unit is kg ms-1."
"What is meant by a force?","Force is one that changes or tends to change the state of rest or of uniform motion of a body."
"State the effects of force.","1. Produces or tries to produce the motion of a static body.
2. Stops or tries to stop a moving body.
3. Changes or tries to change the direction of motion of a moving body."
