Question,Answer
"When a sound wave travels through air, the air particles: 
(a) vibrate along the direction of the wave motion. 
(b) vibrate but not in any fixed direction. 
(c) vibrate perpendicular to the direction of the wave motion. 
(d) do not vibrate.","(a) vibrate along the direction of the wave motion."
"The velocity of sound in a gaseous medium is 330 ms⁻¹. If the pressure is increased by 4 times without causing a change in the temperature, the velocity of sound in the gas is _______. 
(a) 330 ms⁻¹ 
(b) 660 ms⁻¹ 
(c) 156 ms⁻¹ 
(d) 990 ms⁻¹.","(a) 330 ms⁻¹
Hint: Pressure has no effect on the velocity of sound in the gas. So velocity of sound remains unchanged."
"The frequency, which is audible to the human ear is: 
(a) 50 kHz 
(b) 20 kHz 
(c) 15000 kHz 
(d) 10000 kHz","(b) 20 kHz"
"The velocity of sound in air at a particular temperature is 330 ms⁻¹. What will be its value when the temperature is doubled and the pressure is halved? 
(a) 330 ms⁻¹ 
(b) 165 ms⁻¹ 
(c) 330 × √2 ms⁻¹ 
(d) 320/√2 ms⁻¹.","(c) 330 × √2 ms⁻¹
Hint: As there is no effect of change in pressure on the velocity of sound in air, and v ∝ √T therefore, when the temperature is doubled, so the velocity becomes 330√2 m/s."
"If a sound wave travels with a frequency of 1.25 × 10⁴ Hz at 344 ms⁻¹, the wavelength will be: 
(a) 27.52 m 
(b) 275.2 m 
(c) 0.02752 m 
(d) 2.752 m","(c) 0.02752 m"
"The sound waves are reflected from an obstacle into the same medium from which they were incident. Which of the following changes? 
(a) speed 
(b) frequency 
(c) wavelength 
(d) none of these","(d) none of these"
"The velocity of sound in the atmosphere of a planet is 500 ms⁻¹. The minimum distance between the sources of sound and the obstacle to hearing the echo should be _______. 
(a) 17 m 
(b) 20 m 
(c) 25 m 
(d) 50 m.","(c) 25 m
Hint: The minimum distance of the source of the sound and hear the echo,
d = vt/2
t = 0.1 s, d = 500 × 0.1/2 = 25 m."
"Rapid back and forth motion of a particle about its mean position is called _______.","Wave"
"If the energy in a longitudinal wave travels from south to north, the particles of the medium would be vibrating in _______.","South to north"
"A whistle giving out a sound of frequency 450 Hz, approaches a stationary observer at a speed of 33 ms⁻¹. The frequency heard by the observer is (speed of sound = 330 ms⁻¹) _______.","500 Hz"
"A source of sound is travelling with a velocity 40 km/h towards an observer and emits a sound of frequency 2000 Hz. If the velocity of sound is 1220 km/h, then the apparent frequency heard by the observer is _______.","2067.3 Hz"
"Sound can travel through solids, gases, liquids and even vacuum.","False – Sound cannot travel through vacuum."
"Waves created by Earthquake are Infrasonic.","True"
"The velocity of sound is independent of temperature.","False – The velocity of sound depends on temperature."
"The Velocity of sound is high in gases than liquids.","False – The velocity of sound is lower in gases than in liquids."
"The change in air pressure affects the speed of sound.","False"
"Sound travels faster in solids than in gases.","True"
"What is a longitudinal wave?","In longitudinal wave, the particles of the medium vibrate along the direction of the wave."
"What is the audible range of frequency?","Audible waves: These are sound waves with a frequency ranging between 20 Hz and 20,000 Hz."
"What is the minimum distance needed for an echo?","The minimum distance needed for an echo is 17.2 metre."
"What will be the frequency sound having 0.20 m as its wavelength when it travels with a speed of 331 ms⁻¹?","Frequency of sound = velocity of sound/wavelength of sound
n = v/λ = 331/0.20
n = 1655 Hz."
"Name three animals, which can hear ultrasonic vibrations.","The animals are dogs, bats and dolphins."
"Why does sound travel faster on a rainy day than on a dry day?","When humidity increases, the speed of sound increases. Hence, sound travels faster on a rainy day than a dry day."
"Why does an empty vessel produce more sound than a filled one?","The intensity of sound is directly proportional to the square of the amplitude of vibration. I ∝ A² since, the amplitude of vibration of air molecules (empty vessel) is greater than liquid molecules (filled vessel), therefore empty vessel produces a louder sound than the filled vessel."
"State the differences between sound and light.","1. Sound waves are longitudinal waves, while light waves are transverse waves.
2. Sound waves require a material medium for propagation, while light waves can travel through vacuum.
3. The velocity of sound in air is about 340 m/s, while the velocity of light is 3 × 10⁸ m/s.
4. Sound waves cannot be polarized, while light waves can be polarized.
5. Sound waves do not show interference and diffraction easily, while light waves show interference and diffraction phenomena easily."
"What is meant by particle velocity?","The velocity with which the particles of the medium vibrate in order to transfer the energy in the form of a wave is called particle velocity."
"What do you know about wave velocity?","The velocity with which the wave travels through the medium is called wave velocity. In other words, the distance travelled by a sound wave in unit time is called the velocity of a sound wave.
∴ velocity = Distance/Time taken"
"Define wave velocity.","Wave velocity is defined as the distance travelled per second by a sound wave. Since,
Frequency (n) = 1/T, V = λ/T can be written as V = nλ."
"What is the effect of density of a gas on the velocity of sound?","The velocity of sound in a gas is inversely proportional to the square root of the density of the gas. Hence, the velocity decreases as the density of the gas increases.
V ∝ √(1/d)"
"What is the effect of temperature of a gas on the velocity of sound?","The velocity of sound in a gas is directly proportional to the square root of its temperature. The velocity of sound in a gas increases with the increase in temperature.
V ∝ √T. Velocity at temperature T is given by the following equation:
VT = (V₀ + 0.61T) ms²"
"What are the factors affect the speed of sound in gases?","* Effect of density
* Effect of temperature
* Effect of humidity"
"What do you know about reflection of sound from a plane surface?","When sound waves are reflected from a plane surface, the reflected waves travel in a direction, according to the law of reflection. The intensity of the reflected wave is neither decreased nor increased."
"Write a note on whispering gallery.","One of the famous whispering galleries is in St. Paul's cathedral church in London. It is built with elliptically shaped walls. When a person is talking at one focus, his voice can be heard distinctly at the other focus. It is due to the multiple reflections of sound waves from the curved walls."
"How is echo of sound produced?","An echo is the sound reproduced due to the reflection of the original sound from various rigid surfaces such as walls, ceilings, surfaces of mountains, etc…"
