Question,Answer
"Man – made radioactivity is also known as _______. 
(a) Induced radioactivity 
(b) Spontaneous radioactivity 
(c) Artificial radioactivity 
(d) (a) & (c).","(d) (a) & (c)."
"Unit of radioactivity is: 
(a) roentgen 
(b) curie 
(c) becquerel 
(d) all the above","(d) all the above"
"Artificial radioactivity was discovered by _______. 
(a) Becquerel 
(b) Irene Curie 
(c) Roentgen 
(d) Neils Bohr.","(b) Irene Curie"
"In which of the following, no change in mass number of the daughter nuclei takes place: 
(i) a decay; 
(ii) P decay 
(iii) y decay 
(iv) neutron decay 
(a) (i) is correct 
(b) (ii) and (iii) are correct 
(c) (i) and (iv) are correct 
(d) (ii) and (iv) are correct","(b) (ii) and (iii) are correct"
"_______ isotope is used for the treatment of cancer. 
(a) Radio Iodine 
(b) Radio Cobalt 
(c) Radio Carbon 
(d) Radio Nickel.","(b) Radio Cobalt"
"Gamma radiations are dangerous because: 
(a) it affects eyes and bones 
(b) it affects tissues 
(c) it produces genetic disorder 
(d) it produces an enormous amount of heat","(c) it produces genetic disorder"
"_______ aprons are used to protect us from gamma radiations. 
(a) Lead oxide 
(b) Iron 
(c) Lead 
(d) Aluminium.","(c) Lead"
"Which of the following statements is / are correct? 
(i) α particles are photons 
(ii) Penetrating power of γ radiation is very low 
(iii) Ionization power is maximum for α rays 
(iv) Penetrating power of γ radiation is very high 
(a) (i) & (ii) are correct 
(b) (ii) & (iii) are correct 
(c) (iv) only correct 
(d) (iii) & (iv) are correct.","(d) (iii) & (iv) are correct."
"Proton-Proton chain reaction is an example of: 
(a) Nuclear fission 
(b) α – decay 
(c) Nuclear fusion 
(d) β – decay","(c) Nuclear fusion"
"In the nuclear reaction ₆X¹² → ᵧY^A, the value of A & Z. 
(a) 8, 6 
(b) 8, 4 
(c) 4, 8 
(d) cannot be determined with the given data.","(b) 8, 4"
"Kamini reactor is located at _______. 
(a) Kalpakkam 
(b) Koodankulam 
(c) Mumbai 
(d) Rajasthan.","(a) Kalpakkam"
"Which of the following is/are correct? 
(i) Chain reaction takes place in a nuclear reactor and an atomic bomb. 
(ii) The chain reaction in a nuclear reactor is controlled. 
(iii) The chain reaction in a nuclear reactor is not controlled. 
(iv) No chain reaction takes place in an atom bomb. 
(a) (i) only correct 
(b) (i) & (ii) are correct 
(c) (iv) only correct 
(d) (iii) & (iv) are correct","(b) (i) & (ii) are correct"
"One roentgen is equal to _______ disintegrations per second?","3.7 × 10¹⁰."
"Positron is an _______.","antiparticle of electron."
"Radium was discovered by _______. 
(a) Marie curie 
(b) Irene curie 
(c) Henri Becquerel 
(d) F. Joliot.","(a) Marie Curie"
"How many radioactive substances discovered so far? 
(a) 83 
(b) 92 
(c) 43 
(d) 29","(d) 29"
"The SI unit of Radioactivity is _______. 
(a) Curie 
(b) Rutherford 
(c) Becquerel 
(d) Roentgen (R).","(c) Becquerel"
"Radioactivity is _______. 
(a) increases with increase in temperature 
(b) increases with increase in pressure 
(c) depends on the number of electrons 
(d) purely a nuclear phenomenon.","(d) purely a nuclear phenomenon."
"Which of the following processes is a spontaneous process? 
(a) Artifical radioactivity 
(b) Natural radioactivity 
(c) Photoelectric effect 
(d) Collisions","(b) Natural radioactivity"
"The charge of the β rays _______. 
(a) 2e 
(b) 0 
(c) -e 
(d) none of these.","(c) -e"
"The charge of the γ rays _______. 
(a) 2e 
(b) 0 
(c) -e 
(d) none of these.","(b) 0"
"The atomic number of the elements that exhibit artifical radioactivity is: 
(a) more than 82 
(b) more than 83 
(c) less than 83 
(d) less than 82","(c) less than 83"
"Arrange α, β, γ rays in the increasing order of their ionizing power. 
(a) α, β, γ 
(b) β, α, γ 
(c) γ, β, α 
(d) γ, α, β.","(c) γ, β, α"
"Which produces a charge of 2.58 × 10⁻⁴ Coulomb in 1 Kg of air? 
(a) Curie 
(b) Becquerel 
(c) Rutherford 
(d) Roentgen","(d) Roentgen"
"Ionising power of the γ rays _______. 
(a) Comparatively very high ionization power 
(b) 100 times greater than the α rays 
(c) 100 times greater than the β rays 
(d) Comparatively very less ionization power.","(d) Comparatively very less ionization power."
"Ionization power maximum for _______. 
(a) neutrons 
(b) α particles 
(c) γ rays 
(d) β particles.","(b) α particles"
"Charge of gamma particle is: 
(a) +2e 
(b) -e 
(c) Zero 
(d) +1e","(c) Zero"
"Which has low penetrating power? 
(a) α rays 
(b) γ rays 
(c) β rays 
(d) X rays.","(a) α rays"
"In β – decay _______. 
(a) atomic number decreases by one 
(b) the mass number decreases by one 
(c) proton number remains the same 
(d) neutron number decreases by one.","(d) neutron number decreases by one."
"In which decay the energy level of the nucleus changes: 
(a) α – decay 
(b) β – decay 
(c) γ – decay 
(d) neutron decay","(c) γ – decay"
"In γ – decay _______. 
(a) atomic number decreases by one 
(b) there is no change in atomic and mass number 
(c) energy only changes in the decay process 
(d) both (b) and (c).","(d) both (b) and (c)."
"The explosion of an atom bomb is based on the principle of _______. 
(a) uncontrolled fission reaction 
(b) fusion reaction 
(c) controlled fission reaction 
(d) none of the above.","(a) uncontrolled fission reaction"
"The reactor in which no moderator used is _______. 
(a) fast breeder reactor 
(b) pressurised water reactor 
(c) pressurised heavy water reactor 
(d) boiled water reactor.","(a) fast breeder reactor"
"The number of neutrons present in ₉₂U²³⁵ is: 
(a) 133 
(b) 143 
(c) 43 
(d) 243","(b) 143"
"In fast breeder, the coolant system used is _______. 
(a) heavy water 
(b) light water 
(c) liquid sodium 
(d) boiled water.","(c) liquid sodium"
"The only reactor in the world which uses U-233 as fuel is _______. 
(a) Zerlina 
(b) Purnima 
(c) Kamini 
(d) Tires.","(c) Kamini"
